;name;descript;rate;school;start;length;price;link;Tag
0;Online-курс Java разработки;Курс для тех, кто хочет гарантированно стать разработчиком, но не хочет брать кредит или рассрочку в банке. Kata гарантирует трудоустройство и минимальную зарплату от 100 тысяч. Оплата курса — только после трудоустройства в IT.;4.8;Kata Academy by Java Mentor;27 Декабря;8 месяцев;408 000;https://tutortop.ru/goto/?number=4792&term=9;Java
1;Профессия: Java-разработчик с гарантией трудоустройства;онлайн-школа от Skyeng;4.9;Skypro;23 Декабря;11 месяцев;193 700;https://tutortop.ru/goto/?number=4792&term=9;Java
2;Python-разработчик;-;4.8;Eduson Academy;17 Декабря;9 месяцев;199 000;https://tutortop.ru/goto/?number=4792&term=9;PY
3;Онлайн-курс Веб-разработчик с нуля;учат на реальных проектах. Можно пройти курс на индивидуальной основе. Могут выдать диплом гос.образца при необходимости.;4.9;Бруноям;16 Декабря;9 месяцев;133 200;https://tutortop.ru/goto/?number=4792&term=9;Web
4;Профессия: Java-разработчик;Вы научитесь программировать с нуля на самом популярном языке программирования Java, добавите сильные проекты к себе в портфолио и станете востребованным специалистом. Спикеры курса - эксперты из Amazon, HeadHunter, Skyeng. Курс гарантирует трудоустройство во время обучения. Карьерный центр поможет найти работу или вам вернут деньги.;4.8;ProductStar;17 Декабря;16 месяцев;170 000;https://tutortop.ru/goto/?number=4792&term=9;Java
5;Профессия Разработчик игр на Unity PRO;имеют хорошую репутацию. Специализируются на аналитике и разработке. По промокоду TUTORTOP скидка 45% на курс;4.8;SkillFactory;20 Декабря;18 месяцев;330 000;https://tutortop.ru/goto/?number=4792&term=9;Unity
6;ИТ-инженер кибернетика умных устройств;Jфициальная школа холдинга VK (Mail.ru Group);4.5;GeekBrains;08 Января;24 месяца;350 028;https://tutortop.ru/goto/?number=4792&term=9;IT
7;Информационная безопасность (согласовано со ФСТЭК, ФСБ, УМО по ИБ России);-;4.7;Академия АйТи;10 Января;3 месяца;120 000;https://tutortop.ru/goto/?number=4792&term=9;administrator
8;Блокчейн и криптовалюты с нуля до PRO;-;4.8;Moscow Digital School;23 Декабря;2 месяца;130 500;https://tutortop.ru/goto/?number=4792&term=9;crypto
9;Веб-дизайн;Доступ к обновляемым лекциям навсегда. Реальная стажировка в Академии после обучения. Помощь в трудоустройстве. Профессиональное портфолио. Менторы – практики. Живые встречи и воркшопы. Figma-тренажер. Комьюнити.;4.7;Moscow Digital Academy;18 Декабря;7 месяцев;60 500;https://tutortop.ru/goto/?number=4792&term=9;Web
10;"Курс ""Профессиональный геймер и игровой коуч""";Курс для тех, кто хочет начать зарабатывать на профессиональном гейминге, обучая и развлекая людей в видеоиграх.;4.5;Legionfarm;09 Января;12 месяцев;8 400;https://tutortop.ru/goto/?number=4792&term=9;Gaming
11;Frontend;- Интенсивное обучение - Курс от практиков рынка. Авторы и преподаватели курса - тимлиды ВКонтакте - Практика проходит на нашем собственном сервере - Есть программа трудоустройства;4.7;KARPOV.COURSES;19 Декабря;5 месяцев;100 000;https://tutortop.ru/goto/?number=4792&term=9;Frontend
12;Web3-разработчик;Начинаем с верстки и основ джаваскрипта, а заканчиваем современным реактом и web3-фреймворками для создания децентрализованного приложения. Отработаем изученное на боевом проекте обменника со смарт-контрактом на бэке и Next.js/Tailwindcss на фронте.;4.3;Moscow Coding School;17 Декабря;7 месяцев;130 000;https://tutortop.ru/goto/?number=4792&term=9;Web
13;DevOps Инженер 2023;Курс профессиональной подготовки DevOps специалистов.;4.5;Школа DevOps;02 Января;2 месяца;65 000;https://tutortop.ru/goto/?number=4792&term=9;DevOps
14;Курс-практикум по тестированию ПО;Интерактивный курс-практикум по тестированию ПО, который включает 75 бесплатных лекций и более 200 практических заданий по подписке с автоматической проверкой, чтобы ты смог стать тестировщиков ПО и начать свою карьеру в ИТ.;4.6;TestGrow;17 Декабря;Не указана;3 999;https://tutortop.ru/goto/?number=4792&term=9;QA
15;Manual Testing + Internship QA course for beginners;Our top QA experts will send you straight to the big leagues. A live high-quality course with feedback, where the focus is on you, not a crowd of 100 people - our groups are limited to 15 motivated students. An internship working on a real international project that will make you shine in the eyes of your future employer. You deserve the best education!;4.6;Mentorpiece;23 Января;6 месяцев;168 100;https://tutortop.ru/goto/?number=4792&term=9;QA
16;Профессия iOS-разработчик;-;4.7;SwiftBook;26 Декабря;7 месяцев;76 000;https://tutortop.ru/goto/?number=4792&term=9;mobile
17;Тестирование с нуля с помощью в трудоустройстве;Обучаем и помогаем найти работу тестировщиком без специальных навыков и знаний с нуля. Зарплата специалистов которых мы готовим 35-90 тыс руб. у школы есть образовательная лицензия, благодаря чему вы можете вернуть себе 13% от стоимости курса.;4.3;QAKrotov;17 Декабря;2 месяца;18 990;https://tutortop.ru/goto/?number=4792&term=9;QA
18;Комплект курсов Децентрализованные биржи DEX;Децентрализованные криптовалютные биржи и обменники. Заработок с помощью предоставляемых ими инструментов.;4.5;Cryptemic;17 Декабря;Не указана;11 900;https://tutortop.ru/goto/?number=4792&term=9;DEX
19;Как стать веб-разработчиком плюс;Особый формат обучения. Школа Яндекса.;4.7;Яндекс Практикум;22 Декабря;18 месяцев;252 000;https://tutortop.ru/goto/?number=4792&term=9;Web
20;Годовая программа Инди-разработчик;Стань инди-разработчиком и создай свою собственную игру с нуля в одиночку или с небольшой командой.;4.7;XYZ School;17 Декабря;15 месяцев;239 085;https://tutortop.ru/goto/?number=4792&term=9;Indie
21;DevOps-инженер с нуля;помогают в поиске работы, составлении резюме и прохождению собеседований;4.8;Нетология;17 Декабря;24 месяца;265 000;https://tutortop.ru/goto/?number=4792&term=9;DevOps
22;Профессия Java-разработчик PRO;полноценное обучение профессии, первая оплата через 6 месяцев, помощь в трудоустройстве;4.6;Skillbox;17 Декабря;24 месяца;226 741;https://tutortop.ru/goto/?number=4792&term=9;Java
23;Веб-дизайн c WOW-эффектом;-;4.5;Yudaev School;12 Января;2.5 месяца;41 990;https://tutortop.ru/goto/?number=4792&term=9;Web
24;Roblox Studio — создание игр и программирование на языке Lua;-;4.7;Pixel;17 Декабря;Не указана;3 500;https://tutortop.ru/goto/?number=4792&term=9;Lua
25;Программирование в Roblox Studio;"""Создать популярную игру самому? Перейти из игроков в разработчики? Не просто играть, но и зарабатывать на играх? Все это возможно с Roblox! Roblox — платформа, где можно не только играть в тысячи игр, но и делать свои: персонажей, объекты, анимацию. Как? Покажем на нашем новом курсе “Программирование в Roblox Studio”!";4.5;WillSkill;17 Декабря;5 месяцев;23 408;https://tutortop.ru/goto/?number=4792&term=9;Lua
26;Fullstack-разработчик;у них настоящая рассрочка, без банковского кредита;4.5;Хекслет;16 Декабря;16 месяцев;237 600;https://tutortop.ru/goto/?number=4792&term=9;Fullstack
27;Frontend-разработчик;-;4.5;iNordic;17 Декабря;4 месяца;92 300;https://tutortop.ru/goto/?number=4792&term=9;Frontend
28;Онлайн-курс разработки мобильных приложений;у школы есть лицензия минобразования;4.3;Irs Academy;22 Декабря;4,5 месяца;44 000;https://tutortop.ru/goto/?number=4792&term=9;mobile
29;JavaScript: Новый Уровень;школа специализируется на подготовке фрилансеров;4.2;WayUp;27 Декабря;4 месяца;46 031;https://tutortop.ru/goto/?number=4792&term=9;JS
30;Безопасность в интернете: как защитить личные данные;-;4.5;Level One;16 Декабря;4 месяца;500;https://tutortop.ru/goto/?number=3200&term=9;InfSec
31;Онлайн-репетитор по Python;-;4.3;TutGood;17 Декабря;Не указана;319;https://tutortop.ru/goto/?number=3200&term=9;PY
32;Основы SQL;-;4.3;Shultais Education;17 Декабря;4 месяца;4 700;https://tutortop.ru/goto/?number=3200&term=9;SQL
33;Стажировка TopJava;-;4.3;TopJava;16 Декабря;3 месяца;13 450;https://tutortop.ru/goto/?number=3200&term=9;Java
34;Абонемент на все курсы академии Cyberband;Получи доступ к большой библиотеке курсов и неограниченному живому участию в любых наборах в течение года. Ты научишься разрабатывать сложные IT продукты на самых востребованных No-code платформах;4.6;Cyberband Academy;17 Декабря;2 месяца;125 000;https://tutortop.ru/goto/?number=3200&term=9;subscription
35;Service mesh;Вы поймёте service mesh, поработаете руками с технологией, выполнив практические задания. Все это поможет понять необходимость внедрения и подготовиться к нему без костылей в архитектуре.;4.3;Слёрм;06 Января;0.25 месяцев;150 000;https://tutortop.ru/goto/?number=3200&term=9;Service
36;Алгоритмизация и структурное программирование на C++;Курс знакомит слушателей с синтаксисом языка С++, структурами данных и основными алгоритмами обработки. Значительное внимание уделяется принципам структурного программирования и практике решения алгоритмических задач. Это позволяет заложить прочную основу для дальнейшего изучения императивных языков программирования, включая объектно-ориентированные.;4.3;Teach&Study;16 Декабря;2,5 месяца;26 000;https://tutortop.ru/goto/?number=3200&term=9;C++
37;Легендарный курс разработки iOS приложений;-;4.3;Coddy;17 Декабря;4 месяца;1 050;https://tutortop.ru/goto/?number=3200&term=9;mobile
38;SQL для анализа данных;SQL для анализа данных» - это симулятор работы аналитика данных в реальной компании с элементами обучения. Вы проходите через интересный сюжет, в котором вы устраиваетесь в крупную компанию, изучаете SQL с нуля и решаете кейсы из реального бизнеса. По окончанию симулятора вы будете хорошим специалистом с реальным коммерческим опытом и легко найдете работу!;4.5;Simulative;16 Декабря;Не указана;9 000;https://tutortop.ru/goto/?number=3200&term=9;SQL
39;Клубный абонемент;Стань профессиональным зерокодером.;4.3;ZeroCoder;17 Декабря;Не указана;82 900;https://tutortop.ru/goto/?number=3200&term=9;subscription
40;Дистанционный IT колледж Хекслет;Дистанционное обучение в IT колледже Хекслет, по окончании выдается диплом среднего профессионального образования. Колледж с гарантированной стажировкой и практикой, начиная с первых занятий. На втором курсе можно выбрать специализацию: frontend, backend, мобильная разработка, автоматизированное тестирование;4.3;Хекслет колледж;20 Ноября;34 месяца;300 000;https://tutortop.ru/goto/?number=3200&term=9;IT
41;Введение в разработку корпоративных приложений на Java;Курс поможет освоить профессию Java-разработчика. В программе курса — язык программирования Java, фреймворк Spring, инструменты SQL, Maven JUnit, JDBC. Создадите проект для портфолио.;4.3;Университет Иннополис;09 Января;4,5 месяца;96 000;https://tutortop.ru/goto/?number=3200&term=9;Java
42;NodeJS - с нуля, основы и построение архитектуры приложений - с наставником;Полный курс по написанию приложений на Node.js и построению масштабируемой и поддерживаемой архитектуры! В это курсе с наставником мы напишем сразу 2 проекта: бота для интернет-магазина или рассылки акций и сложное API с ролями для редактирования товаров.;4.3;PurpleSchool;17 Декабря;3 месяца;30 000;https://tutortop.ru/goto/?number=3200&term=9;NodeJS
43;Автоматизация тестирования на Python;Научим разрабатывать автотесты и выстраивать процессы в востребованном стеке;4.3;QA.GURU;11 Января;3 месяца;23 950;https://tutortop.ru/goto/?number=3200&term=9;PY
44;Frontend-разработчик;Мы обучаем frontend-разработчиков, которые планируют заниматься разработкой интерфейсов. Наша команда строит данный курс на глубоком изучении принципов программирования, понимании языка JavaScript и обучению фреймворку Vue.js.;4.3;Dev House;30 Декабря;5 месяцев;50 000;https://tutortop.ru/goto/?number=3200&term=9;Frontend
45;Профессия no code разработчик;Уже через год будете востребованным специалистом в IT.;4.6;Code Breakers;30 Декабря;7 месяцев;99 900;https://tutortop.ru/goto/?number=3200&term=9;NoCode
46;Создание игр и персонажей платформах Roblox и Unity;-;4.3;Rebotica;17 Декабря;18 месяцев;78 480;https://tutortop.ru/goto/?number=3200&term=9;Unity
47;Программирование и создание игр в Roblox;С помощью Roblox Studio мы научим не только создать игру мечты, но и поделиться ей на платформе, почувствовав себя настоящим разработчиком! В рамках курса познакомимся с 3D-моделированием и физикой игровых объектов. А также освоим базовые понятия и будем использовать настоящий язык программирования Lua.;4.4;Yes.Coding;16 Декабря;Не указана;20 700;https://tutortop.ru/goto/?number=3200&term=9;Lua
48;Roblox;Научим разрабатывать игры — от создания 3D-моделей и проработки локации до программирования поведения игры и разработки интерфейса.;4.3;Айтигенио;17 Декабря;Не указана;5 760;https://tutortop.ru/goto/?number=3200&term=9;Lua
49;Онлайн-курс по программированию в Паскале;-;4.3;Onskills;30 Декабря;0,5 месяцев;1 900;https://tutortop.ru/goto/?number=3200&term=9;Pascal
50;Профессия Frontend-разработчик;-;4.3;Международная Школа Профессий;19 Декабря;4 месяца;36 000;https://tutortop.ru/goto/?number=3200&term=9;Frontend
51;Безопасность компьютерных систем и сетей. Профессия;Дополнительная профессиональная программа профессиональной переподготовки «Специалист по безопасности компьютерных систем и сетей» направлена на получение новых компетенций, необходимых для обеспечения безопасности информации в компьютерных системах и сетях.;4.3;Московская Бизнес Школа;09 Января;Не указана;69 000;https://tutortop.ru/goto/?number=3200&term=9;InfSec
52;QA-инженер;Курс qa-инженера для тех, кто хочет освоить востребованную профессию с нуля и работать удаленно из любой точки мира.;4.4;Pikabu Study;29 Декабря;4,5 месяца;55 000;https://tutortop.ru/goto/?number=3200&term=9;QA
53;Full stack разработчик;Записывайтесь, и за 12 месяцев вы станете востребованным IT-специалистом со знанием топовых технологий 2022 года и 11 крутыми проектами в портфолио.;4.5;LoftSchool;19 Декабря;Не указана;372 500;https://tutortop.ru/goto/?number=3200&term=9;Fullstack
54;Основы программирования на Java;Онлайн-курс «Основы программирования на Java» рассчитан на тех, кто хочет начать свою карьеру в IT. Благодаря данному курсу вы получите базу практических и теоретических знаний, которая позволит вам претендовать на стажерские и junior-позиции в IT-компаниях.;4.6;Maxima School;20 Декабря;7 месяцев;65 000;https://tutortop.ru/goto/?number=3200&term=9;Java
55;Тестировщик ПО;Обучаясь у действующих тестировщиков и стажируясь на реальном IT проекте, вы освоите новую профессию без технических скиллов и программирования за 3 месяца.;4.5;Qatester;17 Декабря;3 месяца;29 900;https://tutortop.ru/goto/?number=3200&term=9;QA
56;Основы образовательной робототехники;Cовершенствование профессиональных компетенций слушателей в области педагогической деятельности, связанных с использованием современных методов и технологий в части преподавания основ робототехники в основной школе и учреждениях дополнительного образования детей.;4.3;Инфоурок;17 Декабря;0,5 месяцев;950;https://tutortop.ru/goto/?number=3200&term=9;Robotech
57;Python - разработчик;Войди в IT с одним из самых легких языков программирования. Сможешь писать Telegram-ботов, приложения-калькуляторы и даже научишься создавать приложение, где пользователи смогут заводить свои блоги.;4.5;LearnHub;17 Декабря;7 месяцев;132 000;https://tutortop.ru/goto/?number=3200&term=9;PY
58;Марафон обучения QA тестированию программного обеспечения;QA Марафон – курс тестировщика программного обеспечения онлайн в формате марафон. Марафон является интерактивным, включает теорию и практику и каждый день во время марафона открываются новые уроки. В составе курса QA понятные текстовые описания, качественные графики и диаграммы, примеры, задания. Цель марафона - показать каждому, что можно обучиться QA за 1 неделю.;4.3;QA Марафон;17 Декабря;0,25 месяцев;4 900;https://tutortop.ru/goto/?number=3200&term=9;QA
59;Продвинутая эксплуатация Linux;Этот курс познакомит вас с некоторыми наиболее важными функциями интерпретатора bash и навыкам администрирования Linux с использованием командной строки bash.;4.3;LiveBrand;17 Декабря;7 месяцев;8 000;https://tutortop.ru/goto/?number=3200&term=9;OS
60;Стань дата-сайентистом и получи работу за рубежом;Программа переквалификации для студентов, кто хочет работать в направлении анализа больших данных, без опыта в аналитике, желательно с хорошим уровнем школьной математики и программирования, техническое образование будет плюсом, но не обязательно.;4.6;Mathshub;27 Февраля;9 месяцев;400 000;https://tutortop.ru/goto/?number=6961&term=9;Data
61;Техническая защита информации;Курс профессиональной переподготовки подойдёт для специалистов и компаний, планирующих получать лицензию ФСТЭК (и действующих лицензиатов), а также для государственных/муниципальных служащих и представителей органов власти.;4.3;Инфобезопасность;28 Декабря;4 месяца;54 000;https://tutortop.ru/goto/?number=6961&term=9;InfSec
62;Системный трейдинг;Освой авторскую торговую стратегию, которая стабильно работает на криптовалютных и фондовых рынках больше двух лет.;4.3;TTM Academy;01 Марта;3,5 месяца;99 990;https://tutortop.ru/goto/?number=6961&term=9;PT
63;"Курс ""Инструменты 1С для бизнес-аналитика""";Аналитики, внедряющие 1С, не всегда хорошо представляют, как устроена платформа 1С:Предприятие. Как следствие – технические задания часто получаются не понятными для разработчиков. Этот уникальный курс позволит заполнить пробелы в знаниях аналитиков.;4.3;Cors Academy;26 Декабря;1,5 месяц;32 600;https://tutortop.ru/goto/?number=6961&term=9;1C
64;"""Разработчик на Python: с нуля до уровня Junior""";Освойте перспективную профессию с зарплатой от 100 тыс. рублей* и научитесь разрабатывать программные продукты на Python;4.3;Академия «Сигма»;17 Декабря;3 месяца;24 000;https://tutortop.ru/goto/?number=6961&term=9;PY
65;"Колледж ""Академия TOP"". Разработка программного обеспечения";Колледж IT TOP — это международный колледж цифровых технологий «Академия TOP», который реализует практическую подготовку специалистов в сфере информационных технологий.;4.2;Компьютерная Академия TOP;17 Декабря;30 месяцев;315 000;https://tutortop.ru/goto/?number=6961&term=9;Software
66;Тестирование Веб-Приложений на проникновение (WAPT);-;4.5;Codeby;28 Декабря;4 месяца;54 900;https://tutortop.ru/goto/?number=6961&term=9;Web
67;Microsoft Access 2019/2016 Уровень 3. БД. Формы, отчеты и макросы;Автоматизируйте работу с объектами базы данных Microsoft Access 2019/2016/2013, овладейте навыками создания форм для работы с данными, создавайте собственные уникальные отчеты, программируйте макросы, встраивайте кнопочные формы и параметры запуска базы данных – одним словом полет вашей фантазии не ограничен.;4.4;Специалист.ру;20 Декабря;0,25 месяцев;20 990;https://tutortop.ru/goto/?number=6961&term=9;SQL
68;Как создать сайт самостоятельно от TexTerra;школа от Texterra;4.2;Teachline;16 Декабря;Не указана;19 000;https://tutortop.ru/goto/?number=6961&term=9;Web
69;Создаем сайт на Vue.JS с Firebase, Vuex и Router;-;2.8;Udemy;17 Декабря;Не указана;1 290;https://tutortop.ru/goto/?number=6961&term=9;Web
70;Создание Landing Page в Tilda;Вы познакомитесь с основами сайтостроения и научитесь создавать посадочные страницы с помощью конструктора Tilda.;4.7;Interra;17 Декабря;1,5 месяц;450;https://tutortop.ru/goto/?number=6961&term=9;Web
71;Бекенд-разработчик на Python;Ваш трамплин в выскооплачиваемую и интересную IT-профессию! Курс создан профессионалами, прошедшими путь от junior-программиста до топ-менеджера.;4.5;SF Education;17 Декабря;6.5 месяцев;100 000;https://tutortop.ru/goto/?number=6961&term=9;PY
72;Профессия: Веб-разработчик с гарантией трудоустройства;онлайн-школа от Skyeng;4.9;Skypro;20 Декабря;Не указана;191 956;https://tutortop.ru/goto/?number=6961&term=9;Web
73;Онлайн-курс Python-разработчик;учат на реальных проектах. Можно пройти курс на индивидуальной основе. Могут выдать диплом гос.образца при необходимости.;4.9;Бруноям;16 Декабря;7 месяцев;124 800;https://tutortop.ru/goto/?number=6961&term=9;PY
74;Профессия: IOS-разработчик;Научитесь создавать собственные приложения и игры для устройств Apple и выводить их в ТОП App Store. Станете незаменимым специалистом для любой IT компании.;4.8;ProductStar;25 Декабря;10 месяцев;170 000;https://tutortop.ru/goto/?number=6961&term=9;mobile
75;Профессия Python-разработчик;имеют хорошую репутацию. Специализируются на аналитике и разработке. По промокоду TUTORTOP скидка 45% на курс;4.8;SkillFactory;16 Декабря;10 месяцев;177 000;https://tutortop.ru/goto/?number=6961&term=9;PY
76;Разработчик игр на Unity;Официальная школа Mail.ru Group. После обучение все студенты проходят стажировку;4.5;GeekBrains;25 Декабря;18 месяцев;350 028;https://tutortop.ru/goto/?number=6961&term=9;Unity
77;Информационная безопасность. Техническая защита конфиденциальной информации;-;4.7;Академия АйТи;10 Января;3 месяца;120 000;https://tutortop.ru/goto/?number=6961&term=9;InfSec
78;Java-разработка;Самый доступный курс по Java для новичков. Сложные вещи – простыми словами. Менторы без занудства. 4 масштабных проекта в портфолио и помощь в трудоустройстве!;4.7;Moscow Digital Academy;18 Декабря;Не указана;60 500;https://tutortop.ru/goto/?number=6961&term=9;Java
79;Solidity-разработчик;Научитесь писать смарт-контракты на Solidity последней версии, использовать библиотеку OpenZeppelin, инструменты Hardhat, оптимизировать газ и грокать EVM-байткод. Устроим в глобальный крипто-проект после успешного окончания, если вас не схантят уже на середине.;4.3;Moscow Coding School;17 Декабря;7 месяцев;130 000;https://tutortop.ru/goto/?number=6961&term=9;Solidity
80;English for QA;Are you immersing yourself in the IT field and want immediate growth in the international market? Do you already have QA experience but often find yourself at a loss when writing a test case or logging a bug? Perhaps you are afraid of talking with the customer's representative, which has stalled your career advancement? English for QA, a course created by testers for testers!;4.6;Mentorpiece;09 Февраля;1,5 месяц;48 000;https://tutortop.ru/goto/?number=6961&term=9;QA
81;Профессия iOS-разработчик;-;4.7;SwiftBook;26 Декабря;7 месяцев;76 000;https://tutortop.ru/goto/?number=6961&term=9;mobile
82;Комплект курсов Централизованные биржи CEX;Централизованные криптовалютные биржи и получение дохода с помощью предоставляемых ими инструментов.;4.5;Cryptemic;17 Декабря;Не указана;11 900;https://tutortop.ru/goto/?number=6961&term=9;DEX
83;Python-разработчик plus;Особый формат обучения. Школа Яндекса.;4.7;Яндекс Практикум;27 Декабря;14 месяцев;215 600;https://tutortop.ru/goto/?number=6961&term=9;PY
84;Unity;Учим инди-разработчиков программировать 2d-платформеры на unity.;4.7;XYZ School;17 Декабря;5 месяцев;112 425;https://tutortop.ru/goto/?number=6961&term=9;Unity
85;Fullstack-разработчик на JavaScript;помогают в поиске работы, составлении резюме и прохождению собеседований;4.8;Нетология;16 Декабря;21 месяц;265 000;https://tutortop.ru/goto/?number=6961&term=9;Fullstack
86;Профессия 1C-разработчик;полноценное обучение профессии, первая оплата через 3 месяца, помощь в трудоустройстве;4.6;Skillbox;17 Декабря;7 месяцев;107 894;https://tutortop.ru/goto/?number=6961&term=9;1C
87;Создание сайтов Tilda Publishing для детей;-;4.7;Pixel;17 Декабря;3 месяца;3 500;https://tutortop.ru/goto/?number=6961&term=9;Web
88;Java-разработчик;у них настоящая рассрочка, без банковского кредита;4.5;Хекслет;16 Декабря;6.5 месяцев;124 000;https://tutortop.ru/goto/?number=6961&term=9;Java
89;Java-разработчик;-;4.5;iNordic;17 Декабря;4 месяца;91 260;https://tutortop.ru/goto/?number=6961&term=9;Java
90;Онлайн-курс по Python;у школы есть лицензия минобразования;4.3;Irs Academy;30 Декабря;Не указана;40 650;https://tutortop.ru/goto/?number=79&term=9;PY
91;Веб-верстальщик: Код Фрилансера;школа специализируется на подготовке фрилансеров;4.2;WayUp;20 Декабря;4 месяца;46 031;https://tutortop.ru/goto/?number=79&term=9;Web
92;Алгоритмы и структуры данных на Python;-;4.3;Shultais Education;17 Декабря;4 месяца;4 700;https://tutortop.ru/goto/?number=79&term=9;PY
93;Курс MasterJava;В этом курсе вы с нуля разработаете многомодульный Maven-проект, состоящий из 3-х web-приложений с использованием Java EE, многопоточности и web-сервисов.;4.3;TopJava;17 Декабря;Не указана;5 950;https://tutortop.ru/goto/?number=79&term=9;Java
94;Разработчик web приложений на Bubble;Соберем 2 сложных IT продукта без навыков программирования с помощью No-code сервиса Bubble.io;4.6;Cyberband Academy;17 Декабря;2 месяца;55 000;https://tutortop.ru/goto/?number=79&term=9;Web
95;DevOps Upgrade;-;4.3;Слёрм;10 Января;5 месяцев;135 000;https://tutortop.ru/goto/?number=79&term=9;DevOps
96;ICND1: Использование сетевого оборудования Cisco v 2.0;Этот модуль обучения предназначен для широкого круга слушателей, желающих познакомиться с локальными сетями, понять принципы, по которым они работают, получить знания и навыки по их построению.;4.3;Teach&Study;16 Декабря;Не указана;26 000;https://tutortop.ru/goto/?number=79&term=9;administrator
97;Технология блокчейн;-;4.3;Coddy;17 Декабря;Не указана;750;https://tutortop.ru/goto/?number=79&term=9;crypto
98;Зерокодер мобильных приложений;Курс мобильной разработки, благодаря которому уже через 2-3 месяца вы начнете делать сложные мобильные приложения и сможете выйти на 200-300 тыс. рублей в месяц.;4.3;ZeroCoder;17 Декабря;2 месяца;48 000;https://tutortop.ru/goto/?number=79&term=9;mobile
99;Аналитика: искусство управлять данными;"Вы научитесь: Применять машинные методы в обработке данных; Интерпретировать и визуализировать анализ больших данных; Программировать на Python; Работать с SQL, Git, Jupyter и PySpark.";4.3;Университет Иннополис;19 Декабря;5.5 месяцев;76 800;https://tutortop.ru/goto/?number=79&term=9;Data
100;Node.js. PRO;Продвинутый курс с наставником для освоения основ Node.js.;4.3;PurpleSchool;17 Декабря;2 месяца;25 000;https://tutortop.ru/goto/?number=79&term=9;NodeJS
101;Автоматизация тестирования на Java;Научим разрабатывать автотесты и выстраивать процессы в востребованном стеке;4.3;QA.GURU;28 Декабря;3 месяца;23 950;https://tutortop.ru/goto/?number=79&term=9;Java
102;Базовый курс no code;Научитесь создавать IT продукты с нуля в 5 раз быстрее и дешевле, чем в разработке. Освоите новые инструменты, чтобы быстро собирать MVP и тестировать гипотезы. Найдёте инструменты автоматизации бизнеса и оптимизируете расходы.;4.6;Code Breakers;17 Декабря;3 месяца;29 900;https://tutortop.ru/goto/?number=79&term=9;NoCode
103;Онлайн-курсы JavaScript;-;4.3;Международная Школа Профессий;19 Декабря;2 месяца;22 300;https://tutortop.ru/goto/?number=79&term=9;JS
104;Веб-дизайнер;Курс веб-дизайнера для тех, кто хочет освоить востребованную профессию с нуля и работать удаленно из любой точки мира.;4.4;Pikabu Study;29 Декабря;5 месяцев;50 000;https://tutortop.ru/goto/?number=79&term=9;Web
105;Frontend разработчик;Записывайтесь, и за 3 месяца вы станете востребованным IT-специалистом со знанием топовых технологий 2022 года и 2 крутыми проектами в портфолио.;4.5;LoftSchool;09 Января;3 месяца;195 000;https://tutortop.ru/goto/?number=79&term=9;Frontend
106;Основы программирования на C#;Курс рассчитан на начинающих разработчиков и на тех, кто хочет изучить новый язык программирования. Вы получите базу практических и теоретических знаний, которая позволит вам претендовать на стажёрские и junior-позиции в IT-компаниях.;4.6;Maxima School;17 Декабря;7 месяцев;65 000;https://tutortop.ru/goto/?number=79&term=9;C#
107;Тестировщик: первая ступень;Сделаете первые шаги в обучении на тестировщика и поймете, что за 3 месяца можно освоить новую профессию без технических скиллов и программирования.;4.5;Qatester;17 Декабря;0.25 месяцев;290;https://tutortop.ru/goto/?number=79&term=9;QA
108;Frontend - разработчик;Cамая востребованная профессия на текущий момент* (По версии HH). На одного специалиста приходится порядка 4-6 вакансий. На рынке труда очень нуждаются в этих специалистах.;4.5;LearnHub;17 Декабря;8 месяцев;125 000;https://tutortop.ru/goto/?number=79&term=9;Frontend
109;Курс AWS;Вы узнаете, как взаимодействуют различные аспекты облачных вычислений между собой, а также что такое администрирование и каким оно должно быть при работе в коллективе. Представите, как работает интернет-сеть и движение трафика в ней, поймёте архитектуру облачных систем и как её можно усовершенствовать.;4.3;LiveBrand;17 Декабря;7 месяцев;5 000;https://tutortop.ru/goto/?number=79&term=9;AWS
110;Стань ML-инженером и получи работу за рубежом;Программа переквалификации для студентов, кто дет в направление разработки в машинном обучении с нуля с желанием работать за рубежом. Студенты могут быть без опыта в аналитике, желательно с хорошим уровнем школьной математики и программирования, техническое образование будет плюсом, но не обязательно.;4.6;Mathshub;27 Февраля;9 месяцев;400 000;https://tutortop.ru/goto/?number=79&term=9;ML
111;Информационная безопасность;Курс профессиональной переподготовки по информационной безопасности подойдёт для специалистов служб безопасности, работающих в сфере защиты информации, и организаций, планирующих получать лицензию ФСБ.;4.3;Инфобезопасность;28 Декабря;4 месяца;54 000;https://tutortop.ru/goto/?number=79&term=9;InfSec
112;Криптовалюты от А до Я. Модуль Экспертный;«Криптовалюты от А до Я» – флагманский тренинг TTM Academy, разбирающий всё от принципов работы блокчейнов и майнинга криптовалют до анализа проектов и торговли на биржах. Во время тренинга слушатели получают актуальные знания и прикладные навыки для уверенного использования блокчейн-технологий и получения прибыли от работы с криптовалютами.;4.3;TTM Academy;16 Января;3,5 месяца;99 990;https://tutortop.ru/goto/?number=79&term=9;crypto
